%E,N(m),G(m/s2):
93.00,-35.167202642023,-12.034066000046
94.00,-36.698679856445,-12.601829436245
95.00,-38.442591029083,-13.267575834203
96.00,-39.696194649748,-13.890855837297
97.00,-41.360309948436,-14.736529957224
98.00,-43.028599181382,-15.573939940257
99.00,-44.589757828102,-16.597281586148
100.00,-46.319117929263,-17.788631090077
101.00,-47.492105620741,-18.552895360890
102.00,-48.706248541577,-19.249929770216
103.00,-50.799340864811,-20.281146997992
104.00,-52.412885645862,-21.219719149713
105.00,-53.593561740333,-21.972051496450
106.00,-54.782421397514,-22.711384111398
107.00,-56.417983955022,-23.611039359214
108.00,-58.039434360149,-24.535886929442
109.00,-59.661089872907,-25.460374810589
110.00,-61.244724065676,-26.448578832002
111.00,-62.849039897713,-27.402840408049
112.00,-64.682705575175,-28.426398019177
113.00,-66.685565194137,-29.623476876720
114.00,-68.291079850776,-30.575720087125
115.00,-69.469135283571,-31.332149460737
116.00,-71.153146605877,-32.586783218589
117.00,-72.678748100564,-33.662415369398
118.00,-74.348949432384,-34.935375506711
119.00,-75.698831976401,-35.854937845618
120.00,-77.236147915982,-36.913759901657
121.00,-79.010114554952,-38.037611477186
122.00,-80.706023017158,-39.276116417757
123.00,-81.595704615213,-40.030820177649
124.00,-83.155356578470,-41.056456661960
125.00,-84.481809312690,-42.009504888263
126.00,-85.855779352609,-42.892671977314
127.00,-87.115859498788,-43.931890819994
128.00,-88.780829322443,-45.211685915437
129.00,-90.432997052200,-46.507965897829
130.00,-91.692592140264,-47.547772606744
131.00,-92.952605892745,-48.587071948289
132.00,-94.469533507971,-49.674902382965
133.00,-95.893639034390,-50.881703068277
134.00,-97.251707201475,-52.162365122838
135.00,-98.742719902389,-53.285452639535
136.00,-100.339523451128,-52.941946883379
137.00,-101.309763993510,-51.628017255242
138.00,-102.406511886572,-49.837167161275
139.00,-103.276314982651,-48.454698227870
140.00,-104.206855636252,-47.112360017964
141.00,-105.692854731513,-45.313401671218
142.00,-107.239568135389,-43.566369304398
143.00,-108.616886343153,-41.981126561296
144.00,-109.656193471295,-40.721119231487
145.00,-110.792799865211,-39.240386186758
146.00,-111.999468910842,-37.521680332251
147.00,-112.580233594120,-36.509838697523
148.00,-112.689499493790,-35.348300030805
149.00,-111.694444666249,-34.363482336921
150.00,-110.702416835402,-33.749485680630
151.00,-109.501254084400,-33.030313903093
152.00,-107.901451315349,-32.068505427053
153.00,-107.332507680456,-31.660702606668
154.00,-105.711866493171,-30.325216874031
155.00,-104.969679507895,-29.759293213104
156.00,-103.637884747945,-28.813724339278
157.00,-102.666961141166,-28.166871604176
158.00,-101.310697254118,-27.256747411294
159.00,-100.542822991622,-26.726200308666
160.00,-99.313754642680,-25.650482515093
161.00,-98.050109782620,-24.276566174086
